onet_soc_code,element_id,importance,level,element_type,element_name,derived_from
43-3051.00,2.C.1.a,3.83,4.56,knowledge,Administration and Management,raw
43-3051.00,2.C.1.b,4.49,5.97,knowledge,Administrative,raw
43-3051.00,2.C.1.c,4.07,5.27,knowledge,Economics and Accounting,raw
43-3051.00,2.C.1.d,1.38,0.88,knowledge,Sales and Marketing,raw
43-3051.00,2.C.1.e,3.21,4.14,knowledge,Customer and Personal Service,raw
43-3051.00,2.C.1.f,3.9,4.94,knowledge,Personnel and Human Resources,raw
43-3051.00,2.C.10,1.06,0.1,knowledge,Transportation,raw
43-3051.00,2.C.2.a,1.39,0.75,knowledge,Production and Processing,raw
43-3051.00,2.C.2.b,1.0,0.0,knowledge,Food Production,raw
43-3051.00,2.C.3.a,3.15,3.74,knowledge,Computers and Electronics,raw
43-3051.00,2.C.3.b,1.08,0.12,knowledge,Engineering and Technology,raw
43-3051.00,2.C.3.c,1.06,0.12,knowledge,Design,raw
43-3051.00,2.C.3.d,1.0,0.0,knowledge,Building and Construction,raw
43-3051.00,2.C.3.e,1.02,0.06,knowledge,Mechanical,raw
43-3051.00,2.C.4.a,4.21,4.77,knowledge,Mathematics,raw
43-3051.00,2.C.4.b,1.0,0.0,knowledge,Physics,raw
43-3051.00,2.C.4.c,1.0,0.0,knowledge,Chemistry,raw
43-3051.00,2.C.4.d,1.01,0.01,knowledge,Biology,raw
43-3051.00,2.C.4.e,1.77,1.29,knowledge,Psychology,raw
43-3051.00,2.C.4.f,1.51,0.76,knowledge,Sociology and Anthropology,raw
43-3051.00,2.C.4.g,1.25,0.54,knowledge,Geography,raw
43-3051.00,2.C.5.a,1.08,0.14,knowledge,Medicine and Dentistry,raw
43-3051.00,2.C.5.b,1.25,0.58,knowledge,Therapy and Counseling,raw
43-3051.00,2.C.6,2.2,2.42,knowledge,Education and Training,raw
43-3051.00,2.C.7.a,4.19,4.61,knowledge,English Language,raw
43-3051.00,2.C.7.b,1.46,0.56,knowledge,Foreign Language,raw
43-3051.00,2.C.7.c,1.0,0.0,knowledge,Fine Arts,raw
43-3051.00,2.C.7.d,1.38,0.34,knowledge,History and Archeology,raw
43-3051.00,2.C.7.e,1.36,1.09,knowledge,Philosophy and Theology,raw
43-3051.00,2.C.8.a,1.79,1.47,knowledge,Public Safety and Security,raw
